election_id,election_name,election_date,state,total_seats,pollster,pollster_harmonized,predictions_json,predictions_json_harmonized,actual_results_json,source,intervalscore,winner_correct,abserror,predicted_winner,actual_winner
tamil_nadu_2026,2026 Tamil Nadu Legislative Assembly election,2026-05-04,Tamil Nadu,234,Minnambalam,Minnambalam,"{""SPA"": [155, 155], ""AIADMK+"": [72, 72], ""TVK"": [5, 5], ""Others"": [0, 0]}","{""SPA"": [147, 163], ""AIADMK+"": [65, 79], ""TVK"": [1, 9], ""Others"": [0, 2]}","{""SPA"": 73, ""AIADMK+"": 53, ""TVK"": 108, ""Others"": 0}","Wikipedia: 2026 Tamil Nadu Legislative Assembly election, https://en.wikipedia.org/wiki/2026_Tamil_Nadu_Legislative_Assembly_election",1.1083,0,0.219,SPA,TVK
puducherry_2026,2026 Puducherry Legislative Assembly election,2026-05-04,Puducherry,30,Axis My India,Axis My India,"{""NDA"": [16, 20], ""SPA"": [6, 8], ""TVK+"": [2, 4], ""Others"": [1, 3]}","{""NDA"": [16, 20], ""SPA"": [6, 8], ""TVK+"": [2, 4], ""Others"": [1, 3]}","{""NDA"": 18, ""SPA"": 6, ""TVK+"": 3, ""Others"": 3}","Wikipedia: 2026 Puducherry Legislative Assembly election, https://en.wikipedia.org/wiki/2026_Puducherry_Legislative_Assembly_election",0.0833,1,0.0167,NDA,NDA
puducherry_2026,2026 Puducherry Legislative Assembly election,2026-05-04,Puducherry,30,Kamakhya Analytics,Kamakhya Analytics,"{""NDA"": [17, 24], ""SPA"": [4, 7], ""TVK+"": [1, 7], ""Others"": [0, 1]}","{""NDA"": [17, 24], ""SPA"": [4, 7], ""TVK+"": [1, 7], ""Others"": [0, 1]}","{""NDA"": 18, ""SPA"": 6, ""TVK+"": 3, ""Others"": 3}","Wikipedia: 2026 Puducherry Legislative Assembly election, https://en.wikipedia.org/wiki/2026_Puducherry_Legislative_Assembly_election",0.2083,1,0.0542,NDA,NDA
puducherry_2026,2026 Puducherry Legislative Assembly election,2026-05-04,Puducherry,30,People's Pulse,People's Pulse,"{""NDA"": [16, 19], ""SPA"": [10, 12], ""TVK+"": [1, 3], ""Others"": [1, 2]}","{""NDA"": [16, 19], ""SPA"": [10, 12], ""TVK+"": [1, 3], ""Others"": [1, 2]}","{""NDA"": 18, ""SPA"": 6, ""TVK+"": 3, ""Others"": 3}","Wikipedia: 2026 Puducherry Legislative Assembly election, https://en.wikipedia.org/wiki/2026_Puducherry_Legislative_Assembly_election",0.2333,1,0.0667,NDA,NDA
puducherry_2026,2026 Puducherry Legislative Assembly election,2026-05-04,Puducherry,30,Praja Poll,Praja Poll,"{""NDA"": [19, 25], ""SPA"": [6, 10], ""TVK+"": [1, 6], ""Others"": [0, 0]}","{""NDA"": [19, 25], ""SPA"": [6, 10], ""TVK+"": [1, 6], ""Others"": [0, 0]}","{""NDA"": 18, ""SPA"": 6, ""TVK+"": 3, ""Others"": 3}","Wikipedia: 2026 Puducherry Legislative Assembly election, https://en.wikipedia.org/wiki/2026_Puducherry_Legislative_Assembly_election",0.2583,1,0.0792,NDA,NDA
puducherry_2026,2026 Puducherry Legislative Assembly election,2026-05-04,Puducherry,30,JVC,JVC,"{""NDA"": [15, 17], ""SPA"": [11, 13], ""TVK+"": [1, 2], ""Others"": [0, 1]}","{""NDA"": [15, 17], ""SPA"": [11, 13], ""TVK+"": [1, 2], ""Others"": [0, 1]}","{""NDA"": 18, ""SPA"": 6, ""TVK+"": 3, ""Others"": 3}","Wikipedia: 2026 Puducherry Legislative Assembly election, https://en.wikipedia.org/wiki/2026_Puducherry_Legislative_Assembly_election",0.35,1,0.1,NDA,NDA
west_bengal_2026,2026 West Bengal Legislative Assembly election,2026-05-04,West Bengal,294,P-MARQ,P-Marq,"{""AITC+"": [118, 138], ""BJP"": [150, 175], ""Others"": [2, 6]}","{""AITC+"": [118, 138], ""BJP"": [150, 175], ""Others"": [2, 6]}","{""AITC+"": 80, ""BJP"": 208, ""Others"": 6}","Wikipedia: 2026 West Bengal Legislative Assembly election, https://en.wikipedia.org/wiki/2026_West_Bengal_Legislative_Assembly_election",0.3776,1,0.1083,BJP,BJP
west_bengal_2026,2026 West Bengal Legislative Assembly election,2026-05-04,West Bengal,294,Matrize,Matrize,"{""AITC+"": [125, 140], ""BJP"": [146, 161], ""Others"": [6, 10]}","{""AITC+"": [125, 140], ""BJP"": [146, 161], ""Others"": [6, 10]}","{""AITC+"": 80, ""BJP"": 208, ""Others"": 6}","Wikipedia: 2026 West Bengal Legislative Assembly election, https://en.wikipedia.org/wiki/2026_West_Bengal_Legislative_Assembly_election",0.4558,1,0.1236,BJP,BJP
west_bengal_2026,2026 West Bengal Legislative Assembly election,2026-05-04,West Bengal,294,Chanakya Strategies,Chanakya Strategies,"{""AITC+"": [130, 140], ""BJP"": [150, 160], ""Others"": [6, 10]}","{""AITC+"": [130, 140], ""BJP"": [150, 160], ""Others"": [6, 10]}","{""AITC+"": 80, ""BJP"": 208, ""Others"": 6}","Wikipedia: 2026 West Bengal Legislative Assembly election, https://en.wikipedia.org/wiki/2026_West_Bengal_Legislative_Assembly_election",0.4717,1,0.1247,BJP,BJP
west_bengal_2026,2026 West Bengal Legislative Assembly election,2026-05-04,West Bengal,294,People's Pulse,People's Pulse,"{""AITC+"": [177, 187], ""BJP"": [95, 110], ""Others"": [0, 2]}","{""AITC+"": [177, 187], ""BJP"": [95, 110], ""Others"": [0, 2]}","{""AITC+"": 80, ""BJP"": 208, ""Others"": 6}","Wikipedia: 2026 West Bengal Legislative Assembly election, https://en.wikipedia.org/wiki/2026_West_Bengal_Legislative_Assembly_election",0.9331,0,0.2409,AITC+,BJP
west_bengal_2026,2026 West Bengal Legislative Assembly election,2026-05-04,West Bengal,294,JVC,JVC,"{""AITC+"": [131, 152], ""BJP"": [138, 159], ""Others"": [0, 2]}","{""AITC+"": [131, 152], ""BJP"": [138, 159], ""Others"": [0, 2]}","{""AITC+"": 80, ""BJP"": 208, ""Others"": 6}","Wikipedia: 2026 West Bengal Legislative Assembly election, https://en.wikipedia.org/wiki/2026_West_Bengal_Legislative_Assembly_election",0.5215,1,0.1429,BJP,BJP
west_bengal_2026,2026 West Bengal Legislative Assembly election,2026-05-04,West Bengal,294,Poll Diary,Poll Diary,"{""AITC+"": [99, 127], ""BJP"": [142, 171], ""Others"": [5, 9]}","{""AITC+"": [99, 127], ""BJP"": [142, 171], ""Others"": [5, 9]}","{""AITC+"": 80, ""BJP"": 208, ""Others"": 6}","Wikipedia: 2026 West Bengal Legislative Assembly election, https://en.wikipedia.org/wiki/2026_West_Bengal_Legislative_Assembly_election",0.3231,1,0.0969,BJP,BJP
west_bengal_2026,2026 West Bengal Legislative Assembly election,2026-05-04,West Bengal,294,Praja Poll,Praja Poll,"{""AITC+"": [85, 110], ""BJP"": [178, 208], ""Others"": [0, 5]}","{""AITC+"": [85, 110], ""BJP"": [178, 208], ""Others"": [0, 5]}","{""AITC+"": 80, ""BJP"": 208, ""Others"": 6}","Wikipedia: 2026 West Bengal Legislative Assembly election, https://en.wikipedia.org/wiki/2026_West_Bengal_Legislative_Assembly_election",0.0952,1,0.0408,BJP,BJP
west_bengal_2026,2026 West Bengal Legislative Assembly election,2026-05-04,West Bengal,294,People's Insight,People's Insight,"{""AITC+"": [138, 150], ""BJP"": [144, 154], ""Others"": [0, 2]}","{""AITC+"": [138, 150], ""BJP"": [144, 154], ""Others"": [0, 2]}","{""AITC+"": 80, ""BJP"": 208, ""Others"": 6}","Wikipedia: 2026 West Bengal Legislative Assembly election, https://en.wikipedia.org/wiki/2026_West_Bengal_Legislative_Assembly_election",0.5533,1,0.1451,BJP,BJP
west_bengal_2026,2026 West Bengal Legislative Assembly election,2026-05-04,West Bengal,294,Today's Chanakya,Today's Chanakya,"{""AITC+"": [89, 111], ""BJP"": [181, 203], ""Others"": [0, 4]}","{""AITC+"": [89, 111], ""BJP"": [181, 203], ""Others"": [0, 4]}","{""AITC+"": 80, ""BJP"": 208, ""Others"": 6}","Wikipedia: 2026 West Bengal Legislative Assembly election, https://en.wikipedia.org/wiki/2026_West_Bengal_Legislative_Assembly_election",0.127,1,0.0454,BJP,BJP
west_bengal_2026,2026 West Bengal Legislative Assembly election,2026-05-04,West Bengal,294,CNN-News18 - VoteVibe,Vote Vibe,"{""AITC+"": [127, 147], ""BJP"": [143, 163], ""Others"": [0, 6]}","{""AITC+"": [127, 147], ""BJP"": [143, 163], ""Others"": [0, 6]}","{""AITC+"": 80, ""BJP"": 208, ""Others"": 6}","Wikipedia: 2026 West Bengal Legislative Assembly election, https://en.wikipedia.org/wiki/2026_West_Bengal_Legislative_Assembly_election",0.4694,1,0.1304,BJP,BJP
delhi_2025,2025 Delhi Legislative Assembly election,2025-02-08,Delhi,70,Matrize,Matrize,"{""AAP"": [32, 37], ""NDA"": [35, 40], ""INC"": [0, 1], ""Others"": [0, 0]}","{""AAP"": [32, 37], ""NDA"": [35, 40], ""INC"": [0, 1], ""Others"": [0, 0]}","{""AAP"": 22, ""NDA"": 48, ""INC"": 0, ""Others"": 0}","Wikipedia: 2025 Delhi Legislative Assembly election, https://en.wikipedia.org/wiki/2025_Delhi_Legislative_Assembly_election",0.5857,1,0.0839,NDA,NDA
delhi_2025,2025 Delhi Legislative Assembly election,2025-02-08,Delhi,70,P-Marq,P-Marq,"{""AAP"": [21, 31], ""NDA"": [39, 49], ""INC"": [0, 1], ""Others"": [0, 0]}","{""AAP"": [21, 31], ""NDA"": [39, 49], ""INC"": [0, 1], ""Others"": [0, 0]}","{""AAP"": 22, ""NDA"": 48, ""INC"": 0, ""Others"": 0}","Wikipedia: 2025 Delhi Legislative Assembly election, https://en.wikipedia.org/wiki/2025_Delhi_Legislative_Assembly_election",0.1429,1,0.0304,NDA,NDA
